title,upvotes
Prominent Italians in I/O?,1
How to Generate data from rasch model in R ?,1
How often do you encounter BCBAs in this line of work?,1
"What do you think about Schein's books Humble Leadership, Humble Inquiry, Humble Consulting and his other books?",1
How often should you do team events?,1
Employee Assistance Programs - How can we improve them?,1
Link between DEI/wellbeing and Recruitment?,1
"For those in the IOP field - students, professionals, professors, etc",1
Do you think it makes sense to have everyone employee do a public self-assesment at the end of a project and/or an others-assesment?,1
Tools for auditing company culture?,5
What is the research design for this?,4
Occupational stress index,4
Is it possible to go from a masters in I/O to Clinical psychology?,5
Interesting discussion of I-O Psychology field and in its tensions in 2013. How similar does this feel to you?,5
Gender-biased language decoder,5
Writing sample topics,4
Do career interest surveys actually do anything?,3
Research and Discussion of Perceptions on Applicant Assessment,5
Lab equipment - recommendations,5
Experience with the OCAI assessment?,4
Take more IO Pysch classes without being enrolled in a degree program?,5
IO Discord link PLS,5
Really struggling with my SoP,4
Data informing workforce strategy and planning,5
Recent I/O Masters Grad with no experience,4
How do you pitch your ideas?,4
Would online Coursera courses fulfill grad school prerequisite?,4
A New ScienceForWork Article &amp; Audio Episode (See Link),4
Starting Salary of occupational/ I-O psychologist in UK,4
Unconcious bias,4
Second-year Canadian university student with questions about research and career paths.,5
Qualitative network analysis?,4
How hard is it to learn Tableau?,4
Licensing,3
IO resume question,4
Would appreciate advice.,5
What are your thoughts and experiences regarding peer appraisal?,5
"Examples of work injustice, CWBs in tv shows, movies?",3
Have you ever done a post-exit interviews?,5
OCCUPATIONAL HEALTH TOPIC + CAREER PATH,5
Leadership Development Benchmarking,4
The linkage between cognitive diversity and team innovation: Exploring the roles of team humor styles and team emotional intelligence via the conservation of resources theory,4
"E-leadership prevalence in post-pandemic workplace, thoughts?",4
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",4
What are you working on? - September 2022,4
Who are the leading academics/practitioners in the field that study/develop unobtrusive measures?,5
Interpretable machine learning models,4
Need a shorter assessment for employee works styles that can be used to facilitate team development,4
What are you working on? - August 2022,3
Potential jobs with an MSc IOBP degree in the UK?,5
"If my dream is to teach psychology at the university level, should I get a PhD in IO?",5
Scope for IO Psychology in UK?,4
Looking for citations for recruiting method,5
"When and why does status threat at work bring out the best and the worst in us? A temporal social comparison theory (Organizational Psychology Review, 2022)",4
IO Psych Student - Tell me what I should know!,4
What other courses would you go for?,3
Breaking into I/O,4
"Working on an article for common stats methods in our field, however topics on regression are all over the place.",5
Business Psych undergraduate,4
Looking for information on technology-based assessments (preferably systematic reviews or meta-analysis) - any recommendations?,4
A question about Herzbergs two-factor theory,4
Research on Personnel Selection,3
RMPA Presentations?,3
Journal recommendations,3
Scale for Seeking Relationships at Work,3
Open Source Tableau,3
Job analysis,3
Value of an education in IO psych,4
what do you do with your assessment data on leaders?,3
SIOP Conference question: Does anyone have an extra room at the Sheraton?,3
Reporting / BI Analyst Salary,4
Leadership Development Certifications,3
Survey crowdsourcing,3
NEED SOME ADVICE &lt;3,4
What do you regard as essential readings on change and resilience?,3
Where can I find sample social network analysis data sets?,3
Questions about the field from an undergrad,3
"Help, please recommend short courses or books one can refer to up-skill themselves in the field of IOBP?",3
"Hello, how can a fresh graduate go about finding jobs in this field in London/UK market?",3
Beginner Resources for Network Psychometrics?,2
burnout studies in organizations,3
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",3
"If someone said ""the way we work has not changed much since the industrial era"" what kind of data or proof would you identify to reinforce that?",3
How do you define personality?,3
What are you working on? - October 2022,3
From Finance into Psychology/Life Coaching,2
Strategies on organizing citations,3
The presentation(s) I most hope to see at SIOP23...,3
Literature Search/Sources,3
Personality assessment tools used while recruiting,3
Does anyone know of any books (academic or other) that do a good job highlighting the engagement research that has been and is coming out of social media?,3
Any resources for tree models in psychometrics?,3
Racial barriers to MSP world.,3
Looking for research on differences in requirements (KSAOs) by job clusters / job families,3
5/6 months until I start applying for Masters - what do I do?,4
Looking for measures of applicants' acceptance of test batteries,3
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",3
Questionnaire For Org About Internal Candidates Perceived Potential to be CEO ?,3
How useful is data science in I/O Psychology?,3
How do I/Os help both management AND employees at the same time?,3
Performance management,3
What is the most frequent type of analysis you conduct at work?,3
how does the industry of I/O Psych treat tattoos and piercings?,3
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",3
Clinical psych masters student looking at I/O,3
Where to find conferences related to HR / Psychology / OD,2
Will my GPA kill me in grad school apps?,2
Tests of General Mental Ability for personnel selection that avoid bias?,3
Are performance reviews illegal for global independent contractors?,4
Do you need to know about IO psych before you register to a master degree of IO PSY?,6
Which bachelors degree would be most beneficial,5
Transition to people analytics role but lack IO background,7
Education requirements,6
Need help with the right approach for measuring employee's motivation (+ does anyone have the MWMS scale scoring?),5
Low GRE score. What are my chances?,6
Help me design a silly experiment for fun,6
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",7
Any research on what factors affect the validity of assessment methods?,7
"Hi, does anyone know whether the recovery experiences scale is free to use for research purposes? Does it require permission from the authors?",6
How would you approach translating survey items and academic material into multiple languages? How can you ensure consistency of meaning etc?,6
"PhD and working full time? Good or bad idea? Hi Im considering doing both, hopefully trying to match both (ie research topic being relevant to the org and myself). Have people done it? The potential PhD supervisor seems okay in terms of time expectations on the work.",6
Curious if anyone would be willing to share how they structure their select assessments function in their company,7
Organizational Behavior vs I-O Psychology differences,5
Prepping for Masters in IO Psychology,6
Certificate in IO Psych vs. MA in IO Psych,6
my predictive index results,6
What/why do proposals get rejected from SIOP Annual Conference? What typically gets accepted?,5
How to foster psychological safety at work?,6
What of note has been going on recently in business consulting and change management?,5
The war for talent - is it still a thing in 2022/2023?,5
Scales of measurement,5
Mentioning company names in personal statement for Masters?,6
Just a quick question from some considering going into I/O psychology,6
"Currently in undergrad, I need answers about I-O.",6
Assessment Strategy,5
what do IO psychologist do?,6
Is IO still worth it if I dont want to live in big cities? Hows the job market looking due to current lay off in big companies?,5
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",5
Certain practices more/less effective depending on cultural context?,7
"Followup question on ADKAR question from earlier this week- Commenters mentioned using ADKAR with Kotter or Lewin's theories. That makes sense, but in your opinion, do clients or hiring employers care about other methods when ADKAR/Prosci is repeated everywhere as THE CERTIFICATION?",6
Does Your School Conduct Research on Teams?,5
How binding is a PhD in IO Psychology? Could you still teach other topics within psychology? Could you open a clinical practice?,6
IO psyc job prospects in Canada (Quebec and Ontario?),6
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",7
"What are current trends, buzzwords and concepts in the applied setting?",7
ADVICE NEEDED: Path to IO Psych Professor,6
Top tier company but shitty job position,6
USA I/O PhD Salary/Stipend,7
Help developing research question on AI in work,6
Baruch Executive Master in IO,5
Who's at SIOP?,6
Question: can an undergrad IO degree be used in a sports organization?,6
Mentoring Communities,5
How to improve organizational culture?,4
Job path,5
What to do next.,5
What was your most memorable and/or favorite gradschool experience?,3
How to evaluate the effectiveness of an innovative idea before implementing it?,5
IO Psychology Transition Advice Needed!!!!,5
Hogan Certification worth it?,5
Conferences?,6
Work &amp; Organisational Behaviour Research - Request for Survey Participants (Work Ability &amp; Presenteeism),6
Best measure of social support?,6
Power BI or Tableau?,5
Corrective plans for low performing account managers,5
2022 SIOP REPORT ?,5
Should I get a Design Thinking Certification?,5
Limitations of Open Science in Field Research,6
Question about questions,5
is it hard for a foreigner to find i/o jobs in the us?,5
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",5
career help,5
Database of work sample tests?,5
How to remove careless responding from reverse scored survey,4
What do you read for fun?,5
What are the dream positions or organizations in this field?,5
Thoughts on the Lumina Spark for Leadership Development,4
Any org psychs in MBB consulting?,6
"The Effects of UPcomplish on Office Workers Sedentary Behaviour, Quality of Life and Psychosocial Determinants: A Stepped-Wedge Design (International Journal of Behavioral Medicine, 2022)",5
Best way to measure how something affects Job Satisfaction?,5
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",5
"Experience using RevMan, Covidence or other software for a meta-analysis",6
Working in a corporation? career?,6
"Hi everyone, is anyone familiar with a predictive framework that uses customer a type of psychological profile of a customer to predict how a customer/client will value your business?",6
What are some survey question's to check whether employees are in the right place and are doing the right and most efficient work?,5
Study Design - Retrospective Standardized Testing and Employment Outcomes,5
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",5
"Im at a loss on what to do for my future career in psychology, can ya'll give me some ideas?",6
Can social impact programs amplify employee voice and create a positive DEI environment in the workplace? A webinar got me thinking.,4
PhD advisors with emphasis on personality/intelligence?,5
Asking for a raise / post graduation,5
Recent college graduate,6
Get a second bachelors degree?,4
Interested in OD/OBM consulting - how essential is grad school?,5
(Re-)live in-person SIOP 2022 with this funny highlights reel!,4
I need suggestions for the intervention of work teams in the field of organizational development,6
What are good companies and titles that are relevant into getting a good occupation once I obtain my Bachelors in IO Psychology?,5
Talent Acquisition and Recruitment,5
Being thick-skinned vis-a-vis enduring toxic culture.,5
Job titles/Industry,5
Applying to NSF GRFP?,5
Survey wording question,6
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",5
Is the Chicago School of professional psychology a bad school?,5
Atlanta vs Dallas for IO Jobs,4
Entering IO Psych. profession with a Social Psych. graduate degree,6
Organizational Development Careers/Career Path,4
SIOP Conference First-timer,5
Question on Hertzberg's Two Factor Theory,4
Textbook help,9
I/O vs Business Psychology,9
"Difference between Job rotation, Job enlargement, and Job enrichment",9
Democracy in the Workplace,10
Jobs I/O Related (Post-grad),9
What do you all think about mediation analyses on cross-sectional data?,10
Need advice before opting for a masters.,8
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",10
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",9
Question,10
What tools do IO Psychologists use?,9
what were your graduate school classes like?,10
Career with chronic illness?,9
How to get research experience,8
IO- and Neuropsychology topics,7
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",8
"Does io psych talk about why professional world words can sound extremely formal, maybe royal? for example interviews are often not done ""done"" but ""given"" or ""offered""?",7
How to break into the I/O field?,8
Volunteer or gig I/O work?,7
"R users, why not python?",8
Future of continuous listening?,8
What are possible jobs to work before pursuing a masters?,7
How can I learn more about developing questionnaire items?,8
job change,8
Potential Internship opportunities,9
What global job evaluation methodology do you rate as the most practical and effective?,8
Any recommendations for good certification courses for some with 3-5 years experience?,8
Need inspiration for ad-hoc data projects,9
What are you working on? - December 2022,8
Any tips on taking the SHRM certification?,8
German IO Job names,9
I/O psychology vs Buisness analyst,9
"Finally, some me time: A new theoretical perspective on the benefits of commuting",7
Trying to find access to an article,7
Practitioner Conferences?,8
Book recommendations for getting into change consulting practice,8
There is the saying that you cant improve what you dont measure. So how do you quantify employee performance?,8
I/O psychology mentor - Talent management,8
Predictive Index?,7
Survey platform for independent contractor use?,7
I/O Intern asking for advice and guidance!,7
Factors that influence the type of occupation a person gets into,8
Best material to learn about performance appraisal/management?,9
Hi. I reviewed the rules and think this acceptable here: Completed MA I/O Psych and seeking advice for part-time consulting employment,7
I/O Career.,9
Professor career outlook?,8
Advice for activities during a gap year,8
Case Interview for Consulting Jobs,8
"Is Job experience, or research experience more important for MA?",7
What are the cornerstones of a good onboarding procedure?,8
"Telework satisfaction, wellbeing and performance in the digital era. Lessons learned during COVID-19 lockdown in Spain",7
Is it crucial to have a business major background prior to MS in IO Psych?,7
What do applicants dislike about selection procedures?,8
Career Path Advice,7
Possible to break into the field (again)?,8
"What explains recent tech layoffs, and why should we be worried?",6
Why am I so unproductive at my desk but not other areas?,7
Looking for your: Recommended Resources and Career Guidance,7
I/O Career help.,7
IO Psychology Careers Job Security,6
What is your professional opinion in thebusage of this question and your knowledge of this general approach to candidate screening?,8
Employee-focused careers in I/O,8
Should I pursue I/O psychology if I wish to get a master's abroad and work in that same country abroad?,7
IO Consulting firms profit and experience,7
Post-Grad school options of I/O,8
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",6
Work-life Integration - question regarding my degree thesis,7
SIOP Conference Decisions?,7
Alternatives to MTurk,7
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",7
Research into IO Psych,9
Employee Experience Management,9
Providing interview questions to applicants prior to the interview.,7
competency model developed with company values,6
Ever Thought About Strikes? Development of a Scale to Assess Attitudes and Behavioral Reactions to Strikes,7
Recommendations?: Where to start an I/O Psych career?,6
Is it better to send corporate survey before Christmas or after New Year's?,7
Interview Request - Job Shadow,7
Case study resources?,6
Counter argument,7
Literature review topic on disabilities,8
Looking for research on retirement,8
Looking for advice on how to organize L&amp;D in tech product company,7
MS in IO? Need Advice,7
Digital nomad and IO,7
Lack of psychological safety,7
Should one attain a BS or BA degree in undergrad when the goal is to pursue a graduate degree in I/O Psych? Or does it not matter?,8
Early IO experience,8
Data Analysis &amp; Insights!,7
What are you working on? - May 2022,6
Building an inclusion network,7
I/O careers and opportunities in the sports industry?,6
General I/OP career advice,6
Is there a list for I/O programs in California,6
How to choose an assessment for a hiring process?,6
"Looking to make a Lateral move from non-profit Child welfare education/mental health based programs as a Supervisor, into Data analytics type role",5
Conferences other than the annual SIOP conference?,6
what are you doing for your continuous listening strategy?,6
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",6
Looking to talk with someone who does Executive Coaching for their career. I'd like to learn more about your day to day life and see if this is a good path for me to take. Thank you so much.,6
Question on starting/teaching an I-O course at a community college.,12
ChatGPT on how to use ChatGPT for HR,11
How to start my career in IO?,11
What is the best text?,12
Would I be happy as an IO psychologist?,13
Best book on qualitative research method,11
"graduating in the spring w/ masters degree; when do I start applying, where are the best cities for IO psychs?",13
Psych Major wanting to get into hr [resume question],11
"People with political skill are more likely to end up in leadership positions, but are people with political skill better leaders?",13
Research paper topic ideas,11
IO certification options,12
Has anyone successfully used their skills after getting a dual IO/MBA Degree?,13
Phd IO Psych Stipend,10
Should I take the job?,11
Differences between IO Psychology and Software Engineering?,11
What should I read to learn about pay for performance?,12
Podcasts for commute,12
Just finished my Master's IO Psych and am looking for advice,11
Topics that Dont Have Enough Research,12
Neurodivergent Selection,10
Stats in the industry,10
Engagement vs. Experience,11
Attrition analysis,12
Time-to-Event Analysis Aversion,11
"Where could I find some I/O firms from South America, and Asia?",11
How is IO Psychology,12
U.S. Supreme court heard arguments for and against use of any racial criteria in university admission policies. Has race based affirmative action served its purpose and diversity does not require a consideration of race at any level of admission and thus be eliminated?,11
OD Consultants: how do you put your experience on your resume?,11
Gift ideas for an IO Psychologist?,10
Pay Transparency Strategy,11
BS Psych Major in undergrad. Is Minor in Neuroscience going to be useful?,10
Excel course for People analytics role starting out?,10
is the adkar model of change just a product? or is it,11
I-O Psychology jobs,11
Is marketing part of my job??,12
"Associations Between Occupational Status, Support at Work, and Salivary Cortisol Levels",10
Fall 22 PhD Admits I/O,10
What should I do to help build my resume for IO,11
Cry for help: thesis on disidentification,11
Question about being a Recruiter for a company such as McKinsey,11
Humanitarian Work Psychology,11
Looking for highly regarded research on succession planning.,11
Have any of you done freelancing or used Upwork?,11
Concern over not committing to an original thesis idea,11
Spurious correlation exercise,9
LGBTQ+ Researching Scholars,10
Systems Theory Resources,10
AI Based Assessments,9
"Upon graduation with a masters level degree in IO, would I be doing myself a disservice applying to a small company?",10
Should I major in psychology at the University of Minnesota or would it be better to go to the business school (Carlson school of management) and go for human resources and industrial relations major?,10
Does anyone also have HR certifications?,9
What job analysis methodology do you recommend? I want to strengthen a selection process for a high risk role but want to look deeper into the reality of the role. Any references welcome.,11
Team exercises?,9
"As the economy heads into a potential recession, executives seek out consultants and organizational psychologists to reverse the trend.",8
How do you define belongingness?,11
"What do you think about having two teams in your company with exactly the same tasks, and having them be rivals to each other?",11
What can we learn from recruitment?,9
looking for a job.,10
Difficulty of Master's Program?,8
Tips for breaking into people/talent analytics?,10
The Many Forms of Toxic Leadership Article,11
Undergrad research,9
Prioritizing people ops,10
Employee Referral Programs,10
Is there research/ what is your experience with this - Perceptions of unfairness when blind selection results in non-diverse outcomes,9
What should I read to learn more about the relationship between workforce diversity and organizational performance?,11
Name vs program,10
Can I talk to any IO psychologists? Basic questions for someone interested in learning about how life as an IO psychologist is.,10
Is broad or focused experience better?,10
What research/ area/ article should managers in an organization be specifically reading or following?,10
Career advice needed please,11
How often is social network analysis methods used in IO?,10
How to explain the purpose of an IQ test without calling it an IQ test?,9
Job analysis question for practitioners,9
"Bi-Weekly /r/IOpsychology Discussion - What have you been reading, and what do you think of it?",9
Virtual SIOP Conference vs in-person,10
Online Courses (ie. Coursera),9
Graduating with a Major in Psychology and Minor in Business. How should I proceed post-grad?,9
IO Psychology and CSR,9
How long after you received your graduate degree did you land a masters level job?,8
Careers similar to I-O psych that use more statistics and data science aspects,10
"Another week, hopefully those applying are hearing back!",9
"Class of 2023, has anyone heard back from any graduate programs yet?",9
Book recommendations?,9
IO Psych advice for undergrad,8
What internship would you go for as an undergrad?,9
"Good, Bad, and Ugly Leadership Patterns: Implications for Followers Work-Related and Context-Free Outcomes (Journal of Management, 2021)",8
"Realistically, What Are My Grad School Chances?",10
Any readings about the math and statistics behind classical test theory?,9
What are you working on? - November 2022,10
Interview request - job shadow,9
I/O &amp; Performance Psych,9
Is IO Psychology for me?,10
What are the best books about Machine Learning driven organizations?,9
What are the most common I-side applied roles?,8
Do I/O Master's programs typically require you to be employed to do certain assignments/projects?,8
Interested in I/O,9
Can you make $100k without a master's? Can you become a consultant without a master's?,19
"Baby Boomers Are More Sensitive Than Millennials, According To The Largest-Ever Study On Narcissism -",20
Neurodiversity within I/O,21
A guide for People Analytics?,20
The absence of complaints is one of the surest sign of failing leadership,20
Recently laid off and looking for community help,20
Is an I/O background useful for project management?,20
Any airlines that hire I/O Psychologists?,20
If you could do it all over... Would you still choose IO?,19
Job title?,20
I-O Psychology Academic Tree,19
Will studying IO be useful for HR? What research can I do in the field of IO to show my interest in HR?,18
Harvard Business Review,19
"Is it always true, that you shouldn't give people bonuses based on performance, because extrinsic motivation kills intrinsic motivation? What about job titles or other reputation symbols as rewards?",19
Best Journals in the Field,19
Interested in I/O. Coming from sales. Long shot? Need advice.,19
Are there any good online resources to learn the math/statistics part of IO Psychology?,19
I got accepted to UGAs IOMP!!!,18
Anyone excited to go to SIOP?,17
"Just for funsies, do you prefer I/O Psychology or I-O Psychology",19
Is our field dying? I feel like any Joe Blogs gets roles in fields IO psychs are working in. What do you think?,19
Feeling a bit lost.. (CA),18
"A leaked Amazon memo may help explain why the tech giant is pushing (read: ""forcing"") out so many recruiters. Amazon has quietly been developing AI software to screen job applicants.",18
Taking 4-5 years to do part time masters in US. Concerned about knowledge retention.,18
People who got their masters in IO with a BA in psych: What was your minor?,19
What keywords can I use to look for entry-level jobs in psychoanalytics,18
Tips to get into People Analytics role,19
U.S. Department of Justice opens probe into Maryland State Police over possible racial discrimination in hiring and promotions,18
Career paths with IO psych?,19
"Job-seekers prefer to work for more diverse companies - ""A new study finds that job seekers are even willing to explore jobs with lower salaries when companies are more diverse.""",19
"The comments in this thread are so misinformed. As a discipline, how can we do better at demonstrating that pre-hire assessments are valid [not pseudoscience]?",17
Do I stand a chance?,16
What factors should I be looking for in a college to be successful in the future for IO Psychology? What does a linear path look like?,16
What are the most valid personality tests for recruitment?,17
What made you decide I/O,16
Trying to get HR internship here with no experience. HELP!,16
Am I low-balling myself?,17
Working from Home,17
Managing People Help,17
First SIOP Acceptance: What to do,18
Introductory books to IO Psychology / Podcast recommendations,16
what does a day in the life as an io psychologist look like?,15
"Currently a clinical Psych RA, contemplating shifting to an I/O career&what relevant experience do I need to apply to programs?",16
the logistical issue for completing a competency model across 50 job families with unique behaviors for each career level (20 total).,17
Are there I/O psychologists that work for the video game industry?,16
Book recommendations,15
Research relating to game-based assessments?,15
How do you apply machine learning techniques to IO concepts?,15
"Looking for studies comparing remote versus office workers' performance. Specifically, something about bias, heuristics, etc. Any suggestions?",15
Is masters in general psychology enough or is IO masters essential?,15
Most research active organizations?,15
could artificial intelligence replace IO psychology in the future (2-3 decades),15
Experiences from People Analytics,13
How do you get your value proposition in laymans terms? I always hit a wall trying to explain what I do in a compelling manner without boring or confusing people.,15
How can I learn to do job analysis (beyond simply re-reading my IO Psych textbook)?,17
Is this a good job offer?,15
Advice for the statistical portion of I/O Psych,16
Has anyone ever worked for a company where they actually did job analyses? (During or before you practiced I/O),16
Knowledge diversity and hierarchy affect team effectiveness. Diverse teams function well only under the right leadership structure.,14
Undergrad job search,15
Pre I-O Jobs,15
Recent Master's Grad looking for job help,16
Normative vs. Ipsative personality tests in selection,15
Looking for audio book recommendations,15
"Am I getting paid enough? I recently defended my dissertation after 8 years grad school experience, I was abd for 2 years (thanks COVID), and have been at my company full time for 1.5 years. Im also required to come into the office full time and live in San Diego. I make 103k base salary&",15
How do you dress for your job and what type of bag do you use?,15
Research on drinking culture at work?,14
How to assess the responses to behavioral interview questions?,15
What can I be doing to improve my skillset during my free time?,15
We are all playing for the same team right?,14
IO psychology masters personal statement,14
"Undergrad looking for internships, is HR my only realistic internship?",16
Are there any free/affordable online learning resources for IO?,13
Where do you find surveys to use?,15
IO and Data Science/Analytics Question,15
Undergrad student looking for advice on the field,14
What are the books/journal articles/literature that you live by as a researcher/practitioner in I/O Psychology?,13
Is there research around the benefits/drawbacks of keeping self-evalutions but removing the quantitative component for performance reviews?,13
Are SHRM or HRCI certs valued in the I/O field?,13
SIOP registration transfer,12
What are the top or most prestigious I/O psych schools?,13
"Crosspost: Someone asked a question about the validity of MBTI, by the time I set up this submission, it was locked and removed",13
People Development,12
What type of internship would you recommend?,14
"Recommendations on a measure/scale to get a sense of how people are feeling prior to a big structural change? I intend to run it a few times this year to keep a pulse on things. JAWS, JDI and JIG are options but there may be something more appropriate that Im not aware of?",13
Marrying 20 years in tech to IO,13
Seeking employment in mid-career.,13
"Company plans on sending out surveys for ""pulse checks"" a few times a year. To keep it to a practical amount of questions (I'm guessing 5-10) that provide actionable data, what constructs/questions would be be best to include in the survey?",13
Reliability and validity,13
Who are some of the biggest unconventional team / leadership development consulting firms?,14
SIOP Conference too expensive?,13
Research has found that you are more convincing when you phrase your opinions in form of a story rather than just stating facts or referencing scientific papers. How can I learn to communicate more in stories?,13
I am stuck in my career. Where do I go from here?,13
Break before Grad school,14
"Frameworks/models for ""good job"" other than Job Characteristics Model?",13
"Are the cognitive skills of ""deductive and inductive reasoning"" considered ""pattern recognition""? Or, are they separate from ""pattern recognition""?",13
"Workplace politics: how to make an executive committee comprised of ambitious, political, and competitive people work.",13
Have you ever helped a friend or family member with finding a suitable career for them?,14
Would I be a good fit for IO psychology? Would I be interested?,13
IO or HRM masters?,12
Yay! Pop culture is finally listening to what weve been saying for decades!,108
ChatGPT has become an IO psychologist,103
